Warning: Forcing loader_workers=0 to avoid multiprocessing issues (was 7)
Starting experiment
Using device: mps
Using Apple Metal Performance Shaders (MPS)
task: Task.NEIGHBORS_MATCH
type: GNN_TYPE.GAT
dim: 32
depth: 4
num_layers: 5
train_fraction: 0.8
max_epochs: 50000
eval_every: 100
batch_size: 1024
accum_grad: 1
stop: STOP.TRAIN
patience: 20
loader_workers: 7
last_layer_fully_adjacent: False
no_layer_norm: False
no_activation: False
no_residual: False
unroll: False

Training examples: 12800, test examples: 3200
Starting training
/Users/nilscollins/Documents/TUM/bottleneck/experiment.py:111: UserWarning: 'data.DataLoader' is deprecated, use 'loader.DataLoader' instead
  loader = DataLoader(self.X_train, batch_size=self.batch_size, shuffle=True,
/Users/nilscollins/Documents/TUM/bottleneck/experiment.py:185: UserWarning: 'data.DataLoader' is deprecated, use 'loader.DataLoader' instead
  loader = DataLoader(self.X_test, batch_size=self.batch_size, shuffle=False,
Epoch 100, LR: [0.001]: Train loss: 2.7684828, Train acc: 0.0726, Test accuracy: 0.0591 (new best train)
Epoch 200, LR: [0.001]: Train loss: 2.7006389, Train acc: 0.0993, Test accuracy: 0.1181 (new best train)
Epoch 300, LR: [0.001]: Train loss: 2.4609107, Train acc: 0.1809, Test accuracy: 0.1603 (new best train)
Epoch 400, LR: [0.001]: Train loss: 2.3874594, Train acc: 0.2040, Test accuracy: 0.1594 (new best train)
Epoch 500, LR: [0.001]: Train loss: 2.3609986, Train acc: 0.2112, Test accuracy: 0.1559 (new best train)
Epoch 600, LR: [0.001]: Train loss: 2.3409099, Train acc: 0.2179, Test accuracy: 0.1553 (new best train)
Epoch 700, LR: [0.001]: Train loss: 2.3093929, Train acc: 0.2271, Test accuracy: 0.1647 (new best train)
Epoch 800, LR: [0.001]: Train loss: 2.2684858, Train acc: 0.2360, Test accuracy: 0.1759 (new best train)
Epoch 900, LR: [0.001]: Train loss: 2.2171002, Train acc: 0.2553, Test accuracy: 0.1900 (new best train)
Epoch 1000, LR: [0.001]: Train loss: 2.1335826, Train acc: 0.2873, Test accuracy: 0.2206 (new best train)
Epoch 1100, LR: [0.001]: Train loss: 2.0738269, Train acc: 0.3097, Test accuracy: 0.2306 (new best train)
Epoch 1200, LR: [0.001]: Train loss: 2.0376947, Train acc: 0.3196, Test accuracy: 0.2406 (new best train)
Epoch 1300, LR: [0.001]: Train loss: 2.0133805, Train acc: 0.3269, Test accuracy: 0.2466 (new best train)
Epoch 1400, LR: [0.001]: Train loss: 1.9853458, Train acc: 0.3358, Test accuracy: 0.2491 (new best train)
Epoch 1500, LR: [0.001]: Train loss: 1.9597839, Train acc: 0.3435, Test accuracy: 0.2622 (new best train)
Epoch 1600, LR: [0.001]: Train loss: 1.9251488, Train acc: 0.3525, Test accuracy: 0.2650 (new best train)
Epoch 1700, LR: [0.001]: Train loss: 1.8984773, Train acc: 0.3580, Test accuracy: 0.2744 (new best train)
Epoch 1800, LR: [0.001]: Train loss: 1.8610030, Train acc: 0.3689, Test accuracy: 0.2800 (new best train)
Epoch 1900, LR: [0.001]: Train loss: 1.8329149, Train acc: 0.3795, Test accuracy: 0.2812 (new best train)
Epoch 2000, LR: [0.001]: Train loss: 1.8030419, Train acc: 0.3906, Test accuracy: 0.3003 (new best train)
Epoch 2100, LR: [0.001]: Train loss: 1.7833788, Train acc: 0.3982, Test accuracy: 0.3122 (new best train)
Epoch 2200, LR: [0.001]: Train loss: 1.7568086, Train acc: 0.4068, Test accuracy: 0.3250 (new best train)
Epoch 2300, LR: [0.001]: Train loss: 1.7399313, Train acc: 0.4124, Test accuracy: 0.3331 (new best train)
Epoch 2400, LR: [0.001]: Train loss: 1.7237601, Train acc: 0.4183, Test accuracy: 0.3434 (new best train)
Epoch 2500, LR: [0.001]: Train loss: 1.7118644, Train acc: 0.4224, Test accuracy: 0.3381 (new best train)
Epoch 2600, LR: [0.001]: Train loss: 1.6922152, Train acc: 0.4290, Test accuracy: 0.3422 (new best train)
Epoch 2700, LR: [0.001]: Train loss: 1.6726841, Train acc: 0.4338, Test accuracy: 0.3497 (new best train)
Epoch 2800, LR: [0.001]: Train loss: 1.6557740, Train acc: 0.4399, Test accuracy: 0.3491 (new best train)
Epoch 2900, LR: [0.001]: Train loss: 1.6313762, Train acc: 0.4480, Test accuracy: 0.3647 (new best train)
Epoch 3000, LR: [0.001]: Train loss: 1.6110453, Train acc: 0.4547, Test accuracy: 0.3656 (new best train)
Epoch 3100, LR: [0.001]: Train loss: 1.5909104, Train acc: 0.4615, Test accuracy: 0.3006 (new best train)
Epoch 3200, LR: [0.001]: Train loss: 1.5678599, Train acc: 0.4686, Test accuracy: 0.3759 (new best train)
Epoch 3300, LR: [0.001]: Train loss: 1.5414227, Train acc: 0.4778, Test accuracy: 0.3894 (new best train)
Epoch 3400, LR: [0.001]: Train loss: 1.5136077, Train acc: 0.4882, Test accuracy: 0.3997 (new best train)
Epoch 3500, LR: [0.001]: Train loss: 1.4852305, Train acc: 0.4990, Test accuracy: 0.4025 (new best train)
Epoch 3600, LR: [0.001]: Train loss: 1.4584103, Train acc: 0.5090, Test accuracy: 0.4103 (new best train)
Epoch 3700, LR: [0.001]: Train loss: 1.4348656, Train acc: 0.5169, Test accuracy: 0.4150 (new best train)
Epoch 3800, LR: [0.001]: Train loss: 1.4122003, Train acc: 0.5242, Test accuracy: 0.4444 (new best train)
Epoch 3900, LR: [0.001]: Train loss: 1.3826668, Train acc: 0.5345, Test accuracy: 0.4522 (new best train)
Epoch 4000, LR: [0.001]: Train loss: 1.3559268, Train acc: 0.5441, Test accuracy: 0.4578 (new best train)
Epoch 4100, LR: [0.001]: Train loss: 1.3242488, Train acc: 0.5559, Test accuracy: 0.4738 (new best train)
Epoch 4200, LR: [0.001]: Train loss: 1.2952436, Train acc: 0.5675, Test accuracy: 0.4781 (new best train)
Epoch 4300, LR: [0.001]: Train loss: 1.2705198, Train acc: 0.5773, Test accuracy: 0.4897 (new best train)
Epoch 4400, LR: [0.001]: Train loss: 1.2522278, Train acc: 0.5836, Test accuracy: 0.4997 (new best train)
Epoch 4500, LR: [0.001]: Train loss: 1.2293385, Train acc: 0.5927, Test accuracy: 0.5075 (new best train)
Epoch 4600, LR: [0.001]: Train loss: 1.2158201, Train acc: 0.5970, Test accuracy: 0.5088 (new best train)
Epoch 4700, LR: [0.001]: Train loss: 1.1968588, Train acc: 0.6032, Test accuracy: 0.5134 (new best train)
Epoch 4800, LR: [0.001]: Train loss: 1.1895646, Train acc: 0.6059, Test accuracy: 0.5178 (new best train)
Epoch 4900, LR: [0.001]: Train loss: 1.1734878, Train acc: 0.6107, Test accuracy: 0.5259 (new best train)
Epoch 5000, LR: [0.001]: Train loss: 1.1691355, Train acc: 0.6128, Test accuracy: 0.5363 (new best train)
Epoch 5100, LR: [0.001]: Train loss: 1.1629182, Train acc: 0.6138, Test accuracy: 0.5353 (new best train)
Epoch 5200, LR: [0.001]: Train loss: 1.1487944, Train acc: 0.6182, Test accuracy: 0.5409 (new best train)
Epoch 5300, LR: [0.001]: Train loss: 1.1489882, Train acc: 0.6177, Test accuracy: 0.5459
Epoch 5400, LR: [0.001]: Train loss: 1.1387503, Train acc: 0.6207, Test accuracy: 0.5416 (new best train)
Epoch 5500, LR: [0.001]: Train loss: 1.1367024, Train acc: 0.6215, Test accuracy: 0.5428 (new best train)
Epoch 5600, LR: [0.001]: Train loss: 1.1264239, Train acc: 0.6239, Test accuracy: 0.5456 (new best train)
Epoch 5700, LR: [0.001]: Train loss: 1.1236526, Train acc: 0.6242, Test accuracy: 0.5428 (new best train)
Epoch 5800, LR: [0.001]: Train loss: 1.1088452, Train acc: 0.6280, Test accuracy: 0.5431 (new best train)
Epoch 5900, LR: [0.001]: Train loss: 1.1077457, Train acc: 0.6282, Test accuracy: 0.5437 (new best train)
Epoch 6000, LR: [0.001]: Train loss: 1.1027755, Train acc: 0.6291, Test accuracy: 0.5466 (new best train)
Epoch 6100, LR: [0.001]: Train loss: 1.0967842, Train acc: 0.6308, Test accuracy: 0.5528 (new best train)
Epoch 6200, LR: [0.001]: Train loss: 1.0849602, Train acc: 0.6348, Test accuracy: 0.5422 (new best train)
Epoch 6300, LR: [0.001]: Train loss: 1.0866841, Train acc: 0.6342, Test accuracy: 0.5528
Epoch 6400, LR: [0.001]: Train loss: 1.0804573, Train acc: 0.6367, Test accuracy: 0.5481 (new best train)
Epoch 6500, LR: [0.001]: Train loss: 1.0708173, Train acc: 0.6394, Test accuracy: 0.5466 (new best train)
Epoch 6600, LR: [0.001]: Train loss: 1.0623075, Train acc: 0.6421, Test accuracy: 0.5544 (new best train)
Epoch 6700, LR: [0.001]: Train loss: 1.0707685, Train acc: 0.6407, Test accuracy: 0.4922
